DATE,ISO_YEAR,WEEKDAY,LUNAR_DAY,LUNAR_MONTH,LUNAR_YEAR,LEAP_LUNAR_YEAR,LEAP_LUNAR_MONTH,HOLIDAY,WORKING_HOLIDAYS,LAST_SALE_IN_DATE,OFF_HOLIDAYS
1/1/2021,2020,6,18,11,2020,-1,4,New Year,No,1/28/2021,1
1/2/2021,2020,7,19,11,2020,-1,4,,Yes,1/28/2021,0
1/3/2021,2021,1,20,11,2020,-1,4,,Yes,1/28/2021,0
1/4/2021,2021,2,21,11,2020,-1,4,,Yes,1/28/2021,0
1/5/2021,2021,3,22,11,2020,-1,4,,Yes,1/28/2021,0
1/6/2021,2021,4,23,11,2020,-1,4,,Yes,1/28/2021,0
1/7/2021,2021,5,24,11,2020,-1,4,,Yes,1/28/2021,0
1/8/2021,2021,6,25,11,2020,-1,4,,Yes,1/28/2021,0
1/9/2021,2021,7,26,11,2020,-1,4,,Yes,1/28/2021,0
1/10/2021,2021,1,27,11,2020,-1,4,,Yes,1/28/2021,0
1/11/2021,2021,2,28,11,2020,-1,4,,Yes,1/28/2021,0
1/12/2021,2021,3,29,11,2020,-1,4,,Yes,1/28/2021,0
1/13/2021,2021,4,1,12,2020,-1,4,,Yes,1/28/2021,0
1/14/2021,2021,5,2,12,2020,-1,4,,Yes,1/28/2021,0
1/15/2021,2021,6,3,12,2020,-1,4,,Yes,1/28/2021,0
1/16/2021,2021,7,4,12,2020,-1,4,,Yes,1/28/2021,0
1/17/2021,2021,1,5,12,2020,-1,4,,Yes,1/28/2021,0
1/18/2021,2021,2,6,12,2020,-1,4,,Yes,1/28/2021,0
1/19/2021,2021,3,7,12,2020,-1,4,,Yes,1/28/2021,0
1/20/2021,2021,4,8,12,2020,-1,4,,Yes,1/28/2021,0
1/21/2021,2021,5,9,12,2020,-1,4,,Yes,1/28/2021,0
1/22/2021,2021,6,10,12,2020,-1,4,,Yes,1/28/2021,0
1/23/2021,2021,7,11,12,2020,-1,4,,Yes,1/28/2021,0
1/24/2021,2021,1,12,12,2020,-1,4,,Yes,1/28/2021,0
1/25/2021,2021,2,13,12,2020,-1,4,,Yes,1/28/2021,0
1/26/2021,2021,3,14,12,2020,-1,4,,Yes,1/28/2021,0
1/27/2021,2021,4,15,12,2020,-1,4,Vegan Day,Yes,1/28/2021,0
1/28/2021,2021,5,16,12,2020,-1,4,,Yes,1/28/2021,0
1/29/2021,2021,6,17,12,2020,-1,4,,Yes,1/28/2021,0
1/30/2021,2021,7,18,12,2020,-1,4,,Yes,1/28/2021,0
1/31/2021,2021,1,19,12,2020,-1,4,,Yes,1/28/2021,0
2/1/2021,2021,2,20,12,2020,-1,4,,Yes,2/25/2021,0
2/2/2021,2021,3,21,12,2020,-1,4,,Yes,2/25/2021,0
2/3/2021,2021,4,22,12,2020,-1,4,,Yes,2/25/2021,0
2/4/2021,2021,5,23,12,2020,-1,4,,Yes,2/25/2021,0
2/5/2021,2021,6,24,12,2020,-1,4,Pre Tet,Yes,2/25/2021,0
2/6/2021,2021,7,25,12,2020,-1,4,Pre Tet,Yes,2/25/2021,0
2/7/2021,2021,1,26,12,2020,-1,4,Pre Tet,Yes,2/25/2021,0
2/8/2021,2021,2,27,12,2020,-1,4,Pre Tet,Yes,2/25/2021,0
2/9/2021,2021,3,28,12,2020,-1,4,Pre Tet,No,2/25/2021,0
2/10/2021,2021,4,29,12,2020,-1,4,Pre Tet,No,2/25/2021,0
2/11/2021,2021,5,30,12,2020,-1,4,Tet,No,2/25/2021,1
2/12/2021,2021,6,1,1,2021,0,,Tet,No,2/25/2021,1
2/13/2021,2021,7,2,1,2021,0,,Tet,No,2/25/2021,1
2/14/2021,2021,1,3,1,2021,0,,Tet,No,2/25/2021,1
2/15/2021,2021,2,4,1,2021,0,,Tet,No,2/25/2021,1
2/16/2021,2021,3,5,1,2021,0,,Tet,No,2/25/2021,1
2/17/2021,2021,4,6,1,2021,0,,,Yes,2/25/2021,0
2/18/2021,2021,5,7,1,2021,0,,,Yes,2/25/2021,0
2/19/2021,2021,6,8,1,2021,0,,,Yes,2/25/2021,0
2/20/2021,2021,7,9,1,2021,0,,,Yes,2/25/2021,0
2/21/2021,2021,1,10,1,2021,0,,,Yes,2/25/2021,0
2/22/2021,2021,2,11,1,2021,0,,,Yes,2/25/2021,0
2/23/2021,2021,3,12,1,2021,0,,,Yes,2/25/2021,0
2/24/2021,2021,4,13,1,2021,0,,,Yes,2/25/2021,0
2/25/2021,2021,5,14,1,2021,0,,,Yes,2/25/2021,0
2/26/2021,2021,6,15,1,2021,0,,Big Vegan Day,Yes,2/25/2021,0
2/27/2021,2021,7,16,1,2021,0,,,Yes,2/25/2021,0
2/28/2021,2021,1,17,1,2021,0,,,Yes,2/25/2021,0
3/1/2021,2021,2,18,1,2021,0,,,Yes,3/26/2021,0
3/2/2021,2021,3,19,1,2021,0,,,Yes,3/26/2021,0
3/3/2021,2021,4,20,1,2021,0,,,Yes,3/26/2021,0
3/4/2021,2021,5,21,1,2021,0,,,Yes,3/26/2021,0
3/5/2021,2021,6,22,1,2021,0,,,Yes,3/26/2021,0
3/6/2021,2021,7,23,1,2021,0,,,Yes,3/26/2021,0
3/7/2021,2021,1,24,1,2021,0,,,Yes,3/26/2021,0
3/8/2021,2021,2,25,1,2021,0,,,Yes,3/26/2021,0
3/9/2021,2021,3,26,1,2021,0,,,Yes,3/26/2021,0
3/10/2021,2021,4,27,1,2021,0,,,Yes,3/26/2021,0
3/11/2021,2021,5,28,1,2021,0,,,Yes,3/26/2021,0
3/12/2021,2021,6,29,1,2021,0,,,Yes,3/26/2021,0
3/13/2021,2021,7,1,2,2021,0,,,Yes,3/26/2021,0
3/14/2021,2021,1,2,2,2021,0,,,Yes,3/26/2021,0
3/15/2021,2021,2,3,2,2021,0,,,Yes,3/26/2021,0
3/16/2021,2021,3,4,2,2021,0,,,Yes,3/26/2021,0
3/17/2021,2021,4,5,2,2021,0,,,Yes,3/26/2021,0
3/18/2021,2021,5,6,2,2021,0,,,Yes,3/26/2021,0
3/19/2021,2021,6,7,2,2021,0,,,Yes,3/26/2021,0
