CALDAY,IS_MBS,CITY,BUSINESS_UNIT,MCH5_NAME,VALUE_TRANSACTIONS_MCH5,VALUE_SALE_AMOUNT_MCH5
2022-06-13,0,HÀ NỘI,1500,Gà nội địa,2955,191567727
2023-09-26,0,HÀ NỘI,2000,Gà nội địa,335,21149519
2022-07-07,0,HÀ NỘI,2000,Gà nội địa,6202,396327737
2023-11-15,1,HÀ NỘI,2000,Gà nội địa,7796,445994036
2023-09-22,1,HỒ CHÍ MINH,2000,Gà nội địa,2181,146947804
2023-09-18,1,HÀ NỘI,1500,Gà nội địa,2542,170190569
2023-01-26,0,HÀ NỘI,2000,Gà nội địa,1752,114096891
2023-06-25,0,HÀ NỘI,2000,Gà nội địa,592,37177110
2023-04-24,1,HỒ CHÍ MINH,2000,Gà nội địa,2303,150850888
2024-04-09,0,HÀ NỘI,2000,Gà nội địa,360,22935193
2024-04-21,0,HÀ NỘI,2000,Gà nội địa,432,28470769
2024-03-27,1,HỒ CHÍ MINH,2000,Gà nội địa,2758,178966134
2022-02-08,0,HỒ CHÍ MINH,1500,Gà nội địa,618,45535885
2023-12-05,1,HỒ CHÍ MINH,1500,Gà nội địa,515,41691292
2023-05-16,0,HÀ NỘI,2000,Gà nội địa,568,37195163
2024-01-08,1,HỒ CHÍ MINH,1500,Gà nội địa,518,42427491
2022-01-19,0,HỒ CHÍ MINH,1500,Gà nội địa,624,50020668
2023-05-20,1,HỒ CHÍ MINH,1500,Gà nội địa,546,45839099
2023-05-02,0,HÀ NỘI,2000,Gà nội địa,538,34812494
2023-11-19,0,HỒ CHÍ MINH,1500,Gà nội địa,372,31520312
2023-06-08,1,HÀ NỘI,1500,Gà nội địa,2027,141821921
2022-12-15,1,HỒ CHÍ MINH,2000,Gà nội địa,452,29253415
2023-06-10,1,HỒ CHÍ MINH,2000,Gà nội địa,2139,154028225
2022-09-04,1,HÀ NỘI,2000,Gà nội địa,295,19557066
2023-09-05,0,HỒ CHÍ MINH,1500,Gà nội địa,353,30316832
2022-08-19,0,HỒ CHÍ MINH,2000,Gà nội địa,3078,211383747
2022-05-29,0,HỒ CHÍ MINH,2000,Gà nội địa,4081,275051818
2023-08-24,1,HỒ CHÍ MINH,2000,Gà nội địa,2506,168095679
2023-02-08,0,HỒ CHÍ MINH,2000,Gà nội địa,1627,98534437
2023-02-11,0,HÀ NỘI,1500,Gà nội địa,2131,162125313
2024-03-28,0,HÀ NỘI,1500,Gà nội địa,816,58635487
2023-07-24,0,HỒ CHÍ MINH,1500,Gà nội địa,362,30558846
2023-09-08,0,HÀ NỘI,1500,Gà nội địa,1058,70214471
2023-01-29,0,HỒ CHÍ MINH,1500,Gà nội địa,575,48016047
2023-06-10,0,HỒ CHÍ MINH,1500,Gà nội địa,413,33236783
2022-07-17,0,HÀ NỘI,2000,Gà nội địa,6388,415675347
2022-02-21,0,HÀ NỘI,1500,Gà nội địa,3943,279762411
2022-06-20,0,HỒ CHÍ MINH,1500,Gà nội địa,881,66206503
2023-08-25,1,HỒ CHÍ MINH,2000,Gà nội địa,2104,143189637
2023-09-21,1,HỒ CHÍ MINH,2000,Gà nội địa,2479,167804782
2022-10-23,0,HỒ CHÍ MINH,1500,Gà nội địa,1086,87716688
2023-07-26,1,HỒ CHÍ MINH,2000,Gà nội địa,2567,174314867
2022-06-22,0,HỒ CHÍ MINH,1500,Gà nội địa,895,71053055
2023-03-16,0,HÀ NỘI,2000,Gà nội địa,678,43919270
2022-12-30,0,HÀ NỘI,1500,Gà nội địa,2785,209587495
2024-03-06,1,HÀ NỘI,1500,Gà nội địa,2370,159626811
2024-02-15,1,HỒ CHÍ MINH,1500,Gà nội địa,261,21476537
2023-03-24,0,HÀ NỘI,1500,Gà nội địa,1295,92433138
2022-08-28,0,HỒ CHÍ MINH,2000,Gà nội địa,4314,304749336
2023-03-28,0,HỒ CHÍ MINH,1500,Gà nội địa,379,30973064
2022-05-13,0,HỒ CHÍ MINH,2000,Gà nội địa,3352,213814232
2022-12-30,1,HỒ CHÍ MINH,2000,Gà nội địa,400,25178041
2022-11-09,0,HÀ NỘI,2000,Gà nội địa,6346,413818476
2023-09-10,0,HỒ CHÍ MINH,2000,Gà nội địa,1429,92764402
2023-05-18,0,HÀ NỘI,1500,Gà nội địa,1054,68859187
2023-07-05,0,HÀ NỘI,2000,Gà nội địa,528,32862037
2023-01-13,0,HÀ NỘI,1500,Gà nội địa,1699,132759291
2022-01-11,0,HỒ CHÍ MINH,2000,Gà nội địa,3624,253802750
2022-06-27,0,HÀ NỘI,2000,Gà nội địa,6653,412058213
2022-06-12,0,HÀ NỘI,1500,Gà nội địa,4686,336089104
2022-07-17,0,HỒ CHÍ MINH,1500,Gà nội địa,1110,94985422
2022-09-24,0,HỒ CHÍ MINH,1500,Gà nội địa,1037,87320350
2022-03-23,0,HỒ CHÍ MINH,1500,Gà nội địa,813,60696635
2024-04-10,1,HÀ NỘI,2000,Gà nội địa,7504,425430478
2023-10-08,1,HÀ NỘI,2000,Gà nội địa,7858,470312732
2023-08-18,1,HỒ CHÍ MINH,2000,Gà nội địa,2197,147466995
2024-03-31,1,HÀ NỘI,1500,Gà nội địa,3526,271266903
