CALDAY,IS_MBS,CITY,BUSINESS_UNIT,VALUE_TRANSACTIONS_TOTAL,VALUE_SALE_AMOUNT_TOTAL
2023-09-11,1,HỒ CHÍ MINH,1500,4836,1418660664
2022-05-14,0,HÀ NỘI,1500,51836,16537725745
2024-01-19,0,HÀ NỘI,2000,93171,10367900203
2023-04-23,1,HÀ NỘI,2000,65204,9055603713
2023-12-14,1,HÀ NỘI,2000,97045,10648044943
2023-01-26,1,HÀ NỘI,2000,20481,3114717795
2022-10-07,0,HÀ NỘI,1500,43002,10779778865
2023-05-15,0,HỒ CHÍ MINH,1500,7687,1512018480
2023-10-02,0,HÀ NỘI,2000,109702,8559245671
2023-08-09,1,HỒ CHÍ MINH,2000,38526,5348999821
2022-08-05,0,HỒ CHÍ MINH,1500,14677,3768889979
2023-10-30,1,HÀ NỘI,1500,18871,5173399638
2023-11-07,1,HÀ NỘI,1500,22103,5849331765
2023-08-01,0,HÀ NỘI,1500,25015,4402544677
2023-01-18,1,HÀ NỘI,1500,9160,5086958605
2023-03-02,1,HỒ CHÍ MINH,2000,25112,3626832586
2023-10-14,1,HỒ CHÍ MINH,1500,7488,2547690839
2022-11-22,1,HỒ CHÍ MINH,2000,4018,573863865
2024-01-31,1,HỒ CHÍ MINH,1500,4941,1791796357
2023-03-25,1,HỒ CHÍ MINH,1009,78,11529874
2023-07-23,1,HÀ NỘI,1009,109,7096010
2023-10-16,0,HỒ CHÍ MINH,1009,228,14261306
2024-04-06,0,HỒ CHÍ MINH,1009,44,3237020
2023-04-03,1,HÀ NỘI,1009,58,7927730
2023-07-18,0,HÀ NỘI,1009,40,2155079
2023-11-01,1,HÀ NỘI,1009,64,9562680
2024-01-04,1,HỒ CHÍ MINH,1009,106,10784068
2023-06-01,0,HỒ CHÍ MINH,1009,88,5020844
2023-03-28,0,HÀ NỘI,1009,67,3933630
2022-12-17,1,HÀ NỘI,1009,46,4035050
2022-04-16,0,HỒ CHÍ MINH,1500,15721,4678164274
2022-08-22,0,HỒ CHÍ MINH,2000,108696,13560724279
2023-01-25,1,HỒ CHÍ MINH,1009,36,7931545
2023-04-08,0,HỒ CHÍ MINH,2000,94510,9941826328
2022-12-03,0,HÀ NỘI,1009,42,3339950
2023-10-24,0,HỒ CHÍ MINH,1500,7374,1452230504
2023-12-27,1,HÀ NỘI,1009,21,2269850
2024-01-26,1,HỒ CHÍ MINH,2000,49537,6518308412
2023-01-01,1,HÀ NỘI,1009,39,2206900
2023-05-02,0,HÀ NỘI,2000,132145,12036264148
2023-09-01,0,HỒ CHÍ MINH,2000,75518,7354849735
2024-04-02,0,HỒ CHÍ MINH,1500,8299,1568756516
2022-12-29,0,HÀ NỘI,1009,56,3993000
2023-10-11,1,HÀ NỘI,2000,96872,11437954983
2023-11-16,1,HỒ CHÍ MINH,2000,44909,5978986805
2023-03-05,0,HỒ CHÍ MINH,1500,12170,3271700321
2023-12-28,0,HỒ CHÍ MINH,2000,54562,4879006213
2022-09-26,1,HỒ CHÍ MINH,1009,31,3953340
2023-08-27,1,HỒ CHÍ MINH,1500,6386,2352779000
2023-11-20,0,HỒ CHÍ MINH,2000,75636,6927887327
2024-04-17,0,HỒ CHÍ MINH,1500,8327,1688617547
2023-09-25,1,HỒ CHÍ MINH,1500,5837,1685046448
2022-06-09,0,HỒ CHÍ MINH,1500,13576,3375312329
2022-06-22,0,HỒ CHÍ MINH,2000,105175,13575078878
2023-07-27,1,HỒ CHÍ MINH,1009,173,11701990
2022-09-27,0,HỒ CHÍ MINH,1009,145,12943558
2023-07-18,1,HỒ CHÍ MINH,1009,148,13871442
2023-08-09,0,HÀ NỘI,1500,28127,6816056084
2022-01-30,0,HỒ CHÍ MINH,1500,17354,10114510875
2024-04-07,0,HÀ NỘI,1500,26936,9224378913
2023-04-18,1,HỒ CHÍ MINH,1009,101,9610029
2023-09-03,0,HỒ CHÍ MINH,1009,118,5224750
2024-03-06,0,HÀ NỘI,1500,21844,4431954184
2024-01-02,1,HỒ CHÍ MINH,1500,5234,1575271953
2024-03-02,0,HÀ NỘI,2000,111677,10073859634
2022-12-28,0,HỒ CHÍ MINH,1500,13177,4103236928
2023-06-20,0,HỒ CHÍ MINH,2000,85238,8535750054
2023-10-02,1,HÀ NỘI,2000,93976,11078028690
2024-04-19,0,HỒ CHÍ MINH,1009,34,1806778
2023-07-01,1,HỒ CHÍ MINH,1500,6355,2269383070
2023-10-24,0,HÀ NỘI,2000,100154,8701708175
2023-07-12,1,HỒ CHÍ MINH,2000,32084,4594965253
2022-11-08,1,HỒ CHÍ MINH,2000,5074,847146038
2023-06-06,1,HỒ CHÍ MINH,1500,5534,1703097782
2023-03-03,0,HÀ NỘI,1500,26973,6198253599
2022-12-12,0,HÀ NỘI,1500,39285,9199649520
2023-06-18,1,HỒ CHÍ MINH,2000,32295,5531511784
2023-04-09,0,HÀ NỘI,1500,30890,8629638786
2023-05-20,0,HÀ NỘI,1009,75,5870150
2023-09-21,0,HỒ CHÍ MINH,1500,7655,1452923240
2022-11-17,0,HÀ NỘI,1500,44058,10784951363
2022-09-26,1,HỒ CHÍ MINH,2000,2797,487881663
2024-04-04,0,HÀ NỘI,1500,20695,4874986310
2022-06-03,0,HÀ NỘI,2000,212903,22574666406
2022-07-02,0,HÀ NỘI,1500,50483,14979103780
2022-01-19,0,HÀ NỘI,2000,167645,23193445858
2022-02-14,0,HÀ NỘI,2000,202059,25847352307
2022-11-01,0,HÀ NỘI,1500,40297,9565262800
2022-01-19,0,HỒ CHÍ MINH,2000,89789,13226645850
2022-01-02,0,HÀ NỘI,2000,177322,23369893762
2024-02-18,0,HỒ CHÍ MINH,1500,9919,1965260315
2023-02-17,0,HỒ CHÍ MINH,2000,81914,9016572159
2024-03-31,1,HỒ CHÍ MINH,2000,53264,7879298986
2024-02-28,1,HỒ CHÍ MINH,2000,45343,5700711594
2022-11-13,0,HỒ CHÍ MINH,2000,121946,14964496948
2024-04-20,1,HỒ CHÍ MINH,2000,48149,6771438569
2024-01-12,0,HÀ NỘI,1500,20438,4243975224
2022-05-08,0,HÀ NỘI,1500,53011,16456551482
2024-01-25,0,HÀ NỘI,1500,23605,7261918898
2022-09-27,0,HỒ CHÍ MINH,1500,14369,3982322127
2023-11-21,1,HÀ NỘI,2000,103034,11449897835
2023-06-11,1,HÀ NỘI,2000,72600,10505070111
2023-02-14,0,HÀ NỘI,1500,33476,7321826205
2024-02-08,1,HÀ NỘI,2000,90867,21095316313
2024-01-21,0,HỒ CHÍ MINH,1500,11036,2793874157
2023-06-04,1,HỒ CHÍ MINH,2000,29984,4996980176
2023-04-07,1,HỒ CHÍ MINH,2000,25672,3828101087
2024-04-05,1,HÀ NỘI,1500,22040,5422175239
2023-09-05,1,HỒ CHÍ MINH,2000,40623,5678697396
